gene_id,CTR_1,CTR_2,CTR_3,MA1_1,MA1_2,MA1_3,MB1_1,MB1_2,MB1_3,MC1_1,MC1_2,MC1_3,MD1_1,MD1_2,MD1_3,MA100_1,MA100_2,MA100_3,MB100_1,MB100_2,MB100_3,MC100_1,MC100_2,MC100_3
ENSG00000000003,8.495461782982403,8.450786691042886,8.522997231273619,8.361727386371195,7.986636081746585,8.218315546724732,8.495055705783066,8.136694787274182,8.608448250446287,8.00778612131415,8.065366880583223,8.29054584110832,8.085980716900531,8.451195175093424,8.256790568696822,8.322835647552624,8.369257380622077,8.097211002187485,8.27210969964066,8.003671117186494,8.616512097851926,8.234526909021318,8.321816810239877,8.461644238924421
ENSG00000000419,9.602250459674977,8.919859799560333,9.676559630773163,9.491607310633967,9.459724434189555,9.2280116824615,9.289486540138045,9.577056300258256,9.50197401732447,8.93898291285027,9.487720587919604,9.166453278107275,9.329731879203568,9.573833509749655,9.781741556441352,9.421965769837499,9.663061474946828,9.276540219510988,9.361926398722572,9.593102816582643,9.537132194559574,9.461463945225525,9.762924630963212,9.298947176169754
ENSG00000000457,4.818617952608667,6.950710990100672,5.1524664437700345,4.995208730772393,5.2437395290657385,4.91954624936476,5.047677877170536,5.07181726014406,5.00196003202875,4.926293852489373,3.9280567642945257,4.571428799669027,5.399055869437171,5.22241215756815,5.4477766615789225,4.882649009427542,5.203947654760048,2.7893182055278793,4.416670940085466,5.488283588053102,5.716264792881076,5.347044134828106,5.944565437083821,5.9111855695822175
ENSG00000000460,5.259299888582295,4.897628318199993,3.1383961391538233,2.524291419134908,2.7201408082429763,4.958863464015289,4.359242374397726,5.551224977689608,5.479900166899997,4.689941259683383,5.2722342573918635,4.159552190499111,1.9791533524560778,4.745030345904785,0.0,4.8354247935825665,2.160349806760701,0.0,4.06443419582903,3.442940808778627,4.540423447066097,3.657666594706187,4.300917547223991,4.913981350518981
ENSG00000001036,9.94977596544189,9.976057893855046,10.08030037416535,9.906739112544535,9.953376683287372,10.599921396997358,10.073620747899131,10.080813459321668,9.783203384148457,9.888000737354734,9.942470287522065,10.025061404506143,10.044965645009176,10.216138540429148,10.036049228049889,10.022790078307827,9.818998150315402,9.95521342729027,9.849623384995482,9.953890337022202,10.260970729490781,10.283437513617173,10.236627578817735,10.253601377504179
ENSG00000001084,8.028441874183473,7.592856317220061,8.22803504362534,7.809843225870797,7.560736911795092,7.866922498700984,7.487883823327351,8.05053190080722,7.819257218920959,7.5860165717413315,7.380598513083577,7.662554466615406,7.867072956078543,7.787349998971759,8.064819139447675,7.52630974193234,7.860148510818038,8.368245608954656,8.09302261306693,7.608867887805744,7.9285481722632785,7.590466074059353,8.023914104209569,7.8930925077637974
ENSG00000001167,8.166455792605362,7.894004576536172,7.897897369695954,8.130484846556582,8.114340677015093,7.877220298737569,8.278892592650688,8.167723841274805,8.328689323140953,8.218291406088483,7.903414759621348,7.998606212248115,7.848773648266085,8.257449412183517,8.222140185997468,8.292557858873074,8.312646497531295,8.48848560522629,7.404392711415203,8.262679192818526,8.19982661361923,7.959412539389054,8.341764665367668,8.391278796066883
ENSG00000001460,7.2210532691543685,7.1262424189269655,7.632023043389113,7.551144084731758,6.406682383404689,6.614567524198224,7.309129257084953,7.359014746836775,7.106005093060882,7.456143622817679,7.001787066152279,6.2493724393050565,6.700322831800982,6.947054602873586,7.040673336120423,7.511363476074511,6.807965797661289,6.403048503755232,7.372522857890244,7.0516591829491375,6.8563424100587484,7.346202588109928,7.4343075776402,7.3058020835410895
ENSG00000001461,10.811762960038111,10.710920592731197,11.027411406940333,11.102776208361897,11.112694275060203,11.000469502070665,10.732155111351284,10.925346218160799,10.912421808581206,10.892130701374628,11.017050233952125,10.762407499789578,10.762501370811158,11.107770762811475,10.7652125760331,10.705768130425636,10.939575351799832,10.89557201793133,10.846668151479095,10.920866766750583,11.14564368212187,11.013646979066722,10.971835308454763,10.751017306239707
ENSG00000001497,9.047829953323859,8.96059560453161,9.024086135728757,9.006505819109478,9.088223460874854,8.778500165631526,8.862305950648745,8.919996532758285,8.561162370944349,9.347869987355036,9.240799907614155,8.717981552343167,8.839475970476112,8.892549739066535,9.21972251297764,8.802684067446997,9.023416443106393,9.016718530652811,8.78916724779618,9.105141675523573,8.783152652800357,8.899144011845259,8.819675233949058,8.881974461309753
